x,y,yaw
-4.510039185754884,1.5167900863030228,0.0
-4.535039186127413,1.5167900863030228,0.0
-4.560039186499942,1.5167900863030228,0.0
-4.585039186872471,1.5167900863030228,0.0
-4.610039187245,1.5167900863030228,0.0
-4.635039187617529,1.5167900863030228,0.0
-4.6600391879900585,1.5167900863030228,0.0
-4.6850391883625875,1.5167900863030228,0.0
-4.7100391887351165,1.5167900863030228,0.0
-4.7350391891076455,1.5167900863030228,0.0
-4.760039189480175,1.5167900863030228,0.0
-4.785039189852704,1.5167900863030228,0.0
-4.810039190225233,1.5167900863030228,0.0
-4.835039190597762,1.5167900863030228,0.0
-4.860039190970291,1.5167900863030228,0.0
-4.88503919134282,1.5167893233635583,0.0
-4.910039191715349,1.5167893233635583,0.0
-4.935039192087878,1.5167893233635583,0.0
-4.960039192460407,1.5167893233635583,0.0
-4.985039192832936,1.5167893233635583,0.0
-5.010039193205465,1.5167893233635583,0.0
-5.035039193577994,1.5167893233635583,0.0
-5.060039193950523,1.5167893233635583,0.0
-5.085039194323052,1.5167893233635583,0.0
-5.110039194695581,1.5167893233635583,0.0
-5.13503919506811,1.5167893233635583,0.0
-5.160039195440639,1.5167893233635583,0.0
-5.185039195813168,1.5167893233635583,0.0
-5.210039196185697,1.5167893233635583,0.0
-5.235039196558226,1.5167893233635583,0.0
-5.260039196930755,1.5167893233635583,0.0
-5.285039197303284,1.5167893233635583,0.0
-5.310039197675813,1.5167893233635583,0.0
-5.335039198048342,1.5167885604240938,0.0
-5.360039198420871,1.5167885604240938,0.0
-5.3850391987934,1.5167885604240938,0.0
-5.410039199165929,1.5167885604240938,0.0
-5.435039199538458,1.5167885604240938,0.0
-5.460039199910987,1.5167885604240938,0.0
-5.485039200283516,1.5167885604240938,0.0
-5.5100392006560455,1.5167885604240938,0.0
-5.5350392010285745,1.5167885604240938,0.0
-5.5600392014011035,1.5167885604240938,0.0
-5.5850392017736326,1.5167885604240938,0.0
-5.610040728025091,1.5167885604240938,0.0
-5.63504072839762,1.5167877974846293,0.0
-5.660040728770149,1.5167877974846293,0.0
-5.685040729142678,1.5167877974846293,0.0
-5.710040729515207,1.5167877974846293,0.0
-5.735040729887736,1.5167877974846293,0.0
-5.760040730260265,1.5167877974846293,0.0
-5.785040730632794,1.5167877974846293,0.0
-5.810040731005323,1.5167877974846293,0.0
-5.835040731377852,1.5167877974846293,0.0
-5.860040731750381,1.5167870345451648,0.0
-5.88504073212291,1.5167870345451648,0.0
-5.910040732495439,1.5167870345451648,0.0
-5.935040732867968,1.5167870345451648,0.0
-5.960040733240497,1.5167870345451648,0.0
-5.985040733613026,1.5167870345451648,0.0
-6.010040733985555,1.5167870345451648,0.0
-6.035040734358084,1.5167870345451648,0.0
-6.060040734730613,1.5167862716057003,0.0
